City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,carnarvon,AU,71.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
6,atuona,PF,79.65,light rain,-9.8,-139.0333,Villa Enata
11,luanda,AO,75.2,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
21,boundiali,CI,73.24,broken clouds,9.5217,-6.4869,Hotel Paysan Boundiali
24,namie,JP,83.55,broken clouds,37.4833,141.0,いこいの村なみえ
25,cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
26,sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
30,matara,LK,83.52,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
32,eyl,SO,80.01,broken clouds,7.9803,49.8164,Amiin Hotel
35,bambous virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
36,buchanan,LR,75.16,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
37,fare,PF,77.47,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
38,wajir,KE,71.89,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
39,hami,CN,81.48,overcast clouds,42.8,93.45,Laoyutang Resort
40,kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,lorengau,PG,84.15,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
45,humaita,BR,75.79,broken clouds,-7.5061,-63.0208,Corrêa Hotel
47,saint-philippe,RE,72.95,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
49,itarema,BR,75.07,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
54,rikitea,PF,76.1,overcast clouds,-23.1203,-134.9692,People ThankYou
73,bang saphan,TH,84.15,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
75,tecoanapa,MX,78.58,overcast clouds,16.5167,-98.75,Hotel Manglares
83,faanui,PF,79.09,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
85,kavieng,PG,83.35,light rain,-2.5744,150.7967,Nusa Island Retreat
86,buraydah,SA,77.45,clear sky,26.326,43.975,فندق راحة السلام
