City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hithadhoo,MV,2021-06-11 20:39:12,-0.6,73.0833,83.57,74,65,10.92
1,Sinnamary,GF,2021-06-11 20:37:53,5.3833,-52.95,77.65,85,100,4.16
2,Punta Arenas,CL,2021-06-11 20:39:13,-53.15,-70.9167,41.11,87,100,9.22
3,Atuona,PF,2021-06-11 20:36:53,-9.8,-139.0333,78.98,76,40,17.34
4,Naze,JP,2021-06-11 20:39:13,28.3667,129.4833,74.68,89,100,4.29
5,Madingou,CG,2021-06-11 20:39:14,-4.1536,13.55,77.23,74,63,3.98
6,Aykhal,RU,2021-06-11 20:39:14,66.0,111.5,40.73,67,43,16.42
7,Hermanus,ZA,2021-06-11 20:39:15,-34.4187,19.2345,62.91,68,100,1.79
8,Bluff,NZ,2021-06-11 20:39:15,-46.6,168.3333,43.03,84,4,6.87
9,Bartica,GY,2021-06-11 20:39:16,6.4,-58.6167,81.41,73,75,4.7
10,Noshiro,JP,2021-06-11 20:39:16,40.2039,140.0242,65.17,75,100,2.98
11,Tabou,CI,2021-06-11 20:39:16,4.423,-7.3528,77.43,87,99,3.49
12,Port Alfred,ZA,2021-06-11 20:36:49,-33.5906,26.891,68.63,52,49,7.36
13,Mataura,NZ,2021-06-11 20:39:17,-46.1927,168.8643,37.67,91,0,3.31
14,Ribeira Grande,PT,2021-06-11 20:39:18,38.5167,-28.7,72.0,83,40,8.05
15,Kupang,ID,2021-06-11 20:39:18,-10.1667,123.5833,75.67,79,12,10.76
16,Kruisfontein,ZA,2021-06-11 20:39:19,-34.0033,24.7314,63.23,44,6,6.46
17,Grand Gaube,MU,2021-06-11 20:39:19,-20.0064,57.6608,75.6,70,96,10.0
18,Ocampo,MX,2021-06-11 20:39:20,21.65,-101.5,80.28,24,25,15.26
19,Butaritari,KI,2021-06-11 20:39:20,3.0707,172.7902,81.93,76,100,13.38
20,Tuktoyaktuk,CA,2021-06-11 20:36:47,69.4541,-133.0374,41.0,87,40,8.05
21,Yellowknife,CA,2021-06-11 20:39:21,62.456,-114.3525,52.32,100,90,11.5
22,Cidreira,BR,2021-06-11 20:39:22,-30.1811,-50.2056,56.19,55,16,13.4
23,Damara,CF,2021-06-11 20:39:22,4.9608,18.7035,83.62,71,76,1.25
24,Los Llanos De Aridane,ES,2021-06-11 20:39:22,28.6585,-17.9182,73.15,36,0,11.5
25,Imbituba,BR,2021-06-11 20:39:23,-28.24,-48.6703,66.09,77,34,11.03
26,La Orilla,MX,2021-06-11 20:39:23,17.9833,-102.2333,85.77,62,97,9.31
27,Ushuaia,AR,2021-06-11 20:36:30,-54.8,-68.3,38.86,81,0,2.3
28,Pisco,PE,2021-06-11 20:39:24,-13.7,-76.2167,68.05,68,75,17.27
29,Khatanga,RU,2021-06-11 20:37:09,71.9667,102.5,36.91,67,75,3.91
30,Verkhoyansk,RU,2021-06-11 20:39:25,67.5447,133.385,60.26,48,96,7.49
31,Dingle,PH,2021-06-11 20:39:25,10.9995,122.6711,76.35,92,86,1.77
32,Toowoomba,AU,2021-06-11 20:39:26,-27.55,151.9667,42.26,92,100,3.74
33,Jamestown,US,2021-06-11 20:35:39,42.097,-79.2353,82.04,54,1,5.75
34,Moree,AU,2021-06-11 20:39:27,-29.4667,149.85,48.22,93,90,5.75
35,Isiolo,KE,2021-06-11 20:39:27,0.3546,37.5822,67.06,73,5,11.39
36,Morondava,MG,2021-06-11 20:38:16,-20.2833,44.2833,68.97,81,5,11.23
37,San Patricio,US,2021-06-11 20:39:28,28.017,-97.5169,94.01,52,2,14.07
38,Georgetown,MY,2021-06-11 20:39:28,5.4112,100.3354,81.9,88,20,5.01
39,Provideniya,RU,2021-06-11 20:39:29,64.3833,-173.3,39.85,93,100,9.69
